unitid,institutionname,fein,newfein
207403,Oklahoma Baptist University,730579264,730579264
207324,Oklahoma Christian University,730555460,730555460
207458,Oklahoma City University,730579265,730579265
206835,Oklahoma Wesleyan University,736085616,736085616
171599,Olivet College,381459365,381459365
147828,Olivet Nazarene University,362191252,362191252
207582,Oral Roberts University,730739626,730739626
209533,Oregon College of Art and Craft,930391547,930391547
120403,Otis College of Art and Design,132981115,132981115
442897,Ottawa University-Jeffersonville,480543772,480543772
155636,Ottawa University-Kansas City,480543772,480543772
428259,Ottawa University-Milwaukee,480543772,480543772
454582,Ottawa University-Online,480543772,480543772
155627,Ottawa University-Ottawa,480543772,480543772
105367,Ottawa University-Phoenix,480543772,480543772
204936,Otterbein University,314379532,314379532
107512,Ouachita Baptist University,710239383,710239383
160074,Our Lady of the Lake College,721173156,721173156
227331,Our Lady of the Lake University,741109631,741109631
178679,Ozark Christian College,446005108,446005108
194310,Pace University-New York,135562314,135562314
236230,Pacific Lutheran University,910565571,910565571
209603,Pacific Northwest College of Art,931139187,931139187
120768,Pacific Oaks College,951716809,951716809
457484,Pacific Rim Christian University,936002614,936002614
120838,Pacific States University,951744370,951744370
120865,Pacific Union College,941279798,941279798
209612,Pacific University,930386892,930386892
140720,Paine College,237434499,237434499
136330,Palm Beach Atlantic University,591092732,591092732
154174,Palmer College of Chiropractic,426081293,426081293
120698,Palo Alto University,942340692,942340692
178721,Park University,440562048,440562048
243823,Parker University,751596658,751596658
227429,Paul Quinn College,741238438,741238438
194392,Paul Smiths College of Arts and Science,150533545,150533545
214883,Peirce College,231627436,231627436
214971,Pennsylvania Academy of the Fine Arts,231352256,231352256
215053,Pennsylvania College of Art and Design,232215278,232215278
442356,Pennsylvania College of Health Sciences,61645496,61645496
121150,Pepperdine University,951644037,951644037
199306,Pfeiffer University,560529990,560529990
215099,Philadelphia University,231352294,231352294
107600,Philander Smith College,710239729,710239729
140818,Piedmont College,580566212,580566212
199315,Piedmont International University,560594591,560594591
440794,Pillar College,237075340,237075340
167455,Pine Manor College,42321292,42321292
121257,Pitzer College,952261113,952261113
121309,Point Loma Nazarene University,951644035,951644035
215442,Point Park University,251094922,251094922
138868,Point University,586044761,586044761
456481,Polytechnic University of Puerto Rico-Miami,660362666,660362666
456490,Polytechnic University of Puerto Rico-Orlando,660362666,660362666
121345,Pomona College,951664112,951664112
205027,Pontifical College Josephinum,314379535,314379535
194578,Pratt Institute-Main,111630822,111630822
218539,Presbyterian College,570314408,570314408
105589,Prescott College,860294012,860294012
219295,Presentation College,460280847,460280847
186131,Princeton University,210634501,210634501
148016,Principia College,430652667,430652667
455770,Providence Christian College,830340684,830340684
217402,Providence College,50258932,50258932
199412,Queens University of Charlotte,560530003,560530003
148131,Quincy University,370661231,370661231
130226,Quinnipiac University,60646701,60646701
384421,Rabbi Jacob Joseph School,135562257,135562257
194657,Rabbinical Academy Mesivta Rabbi Chaim Berlin,112145827,112145827
194693,Rabbinical College Beth Shraga,131930056,131930056
194666,Rabbinical College Bobover Yeshiva Bnei Zion,112202774,112202774
186186,Rabbinical College of America,226017975,226017975
194675,Rabbinical College of Ch'san Sofer New York,135616535,135616535
194736,Rabbinical College of Long Island,112248986,112248986
405854,Rabbinical College of Ohr Shimon Yisroel,113203397,113203397
205124,Rabbinical College Telshe,340801310,340801310
194763,Rabbinical Seminary of America,111752021,111752021
233301,Randolph College,540505941,540505941
233295,Randolph-Macon College,540505940,540505940
178891,Ranken Technical College,430471057,430471057
209922,Reed College,930386908,930386908
231651,Regent University,541061178,541061178
167598,Regis College,42104451,42104451
127918,Regis University,840402707,840402707
140872,Reinhardt University,580603153,580603153
457183,Remington College of Nursing Orlando,273339369,273339369
223463,Remington College-Dallas Campus,273339369,273339369
460783,Remington College-Heathrow Campus,273339369,273339369
372958,Remington College-Honolulu Campus,273339369,273339369
412599,Remington College-Memphis Campus,273339369,273339369
135939,Remington College-Tampa Campus,273339369,273339369
194824,Rensselaer Polytechnic Institute,141340095,141340095
149763,Resurrection University,362182170,362182170
217493,Rhode Island School of Design,50258956,50258956
221351,Rhodes College,620476301,620476301
227757,Rice University,741109620,741109620
186283,Rider University,210650678,210650678
136774,Ringling College of Art and Design,590637903,590637903
475185,Rio Grande Bible Institute,746066216,746066216
239628,Ripon College,390826049,390826049
183211,Rivier University,20223339,20223339
233426,Roanoke College,540505945,540505945
215655,Robert Morris University,251120678,251120678
148335,Robert Morris University Illinois,370864020,370864020
194958,Roberts Wesleyan College,116074341,116074341
170967,Rochester College,381619831,381619831
195003,Rochester Institute of Technology,160743140,160743140
148405,Rockford University,362167842,362167842
179043,Rockhurst University,440545813,440545813
180595,Rocky Mountain College,810235407,810235407
217518,Roger Williams University,50277222,50277222
136950,Rollins College,590624440,590624440
148487,Roosevelt University,362167854,362167854
152318,Rose-Hulman Institute of Technology,350868149,350868149
445735,Roseman University of Health Sciences,880435559,880435559
215691,Rosemont College,231365966,231365966
148511,Rush University,362174823,362174823
176318,Rust College,604303805,604303805
172033,Sacred Heart Major Seminary,381358214,381358214
130253,Sacred Heart University,60776644,60776644
154235,Saint Ambrose University,420703280,420703280
183239,Saint Anselm College,20222182,20222182
149028,Saint Anthony College of Nursing,362167864,362167864
148876,Saint Augustine College,363108821,363108821
199582,Saint Augustine's University,560547478,560547478
157632,Saint Catharine College,611340920,611340920
216047,Saint Charles Borromeo Seminary-Overbrook,231370450,231370450
227845,Saint Edward's University,741109641,741109641
148575,Saint Francis Medical Center College of Nursing,370662569,370662569
215743,Saint Francis University,251024358,251024358
195720,Saint John Fisher College,160746864,160746864
137272,Saint John Vianney College Seminary,590936099,590936099
167677,Saint John's Seminary,42104873,42104873
174792,Saint Johns University,410693973,410693973
160409,Saint Joseph Seminary College,720439000,720439000
161518,Saint Joseph's College of Maine,10212542,10212542
195544,Saint Joseph's College-New York,111733439,111733439
215770,Saint Joseph's University,231352674,231352674
152363,Saint Josephs College,350868152,350868152
137032,Saint Leo University,591237047,591237047
179256,Saint Louis Christian College,430764111,430764111
179159,Saint Louis University,430654872,430654872
179450,Saint Luke's College of Health Sciences,440545297,440545297
236452,Saint Martin's University,910564993,910564993
152390,Saint Mary's College,350868158,350868158
123554,Saint Mary's College of California,941156599,941156599
174817,Saint Mary's University of Minnesota,410695527,410695527
152381,Saint Mary-of-the-Woods College,351065063,351065063
231059,Saint Michael's College,30179403,30179403
239716,Saint Norbert College,391399196,391399196
186432,Saint Peter's University,221508627,221508627
215798,Saint Vincent College,250964126,250964126
148627,Saint Xavier University,362177133,362177133
199607,Salem College,560530005,560530005
180647,Salish Kootenai College,810378823,810378823
217536,Salve Regina University,50259080,50259080
102049,Samford University,630312914,630312914
122296,Samuel Merritt University,942992642,942992642
112084,San Diego Christian College,952668328,952668328
122454,San Francisco Art Institute,941196211,941196211
122506,San Francisco Conservatory of Music,941156610,941156610
122931,Santa Clara University,941156697,941156697
195304,Sarah Lawrence College,237223216,237223216
140951,Savannah College of Art and Design,581357177,581357177
143048,School of the Art Institute of Chicago,362167725,362167725
166984,School of the Museum of Fine Arts-Boston,42103607,42103607
228042,Schreiner University,741193459,741193459
123165,Scripps College,951664123,951664123
236577,Seattle Pacific University,910565553,910565553
236595,Seattle University,910565006,910565006
102058,Selma University,630367461,630367461
232885,Sentara College of Health Sciences,541547408,541547408
186584,Seton Hall University,221500645,221500645
215947,Seton Hill University,250965557,250965557
221519,Sewanee-The University of the South,620475697,620475697
195438,Sh'or Yoshuv Rabbinical College,112145464,112145464
123280,Shasta Bible College and Graduate School,942245517,942245517
199643,Shaw University,560530235,560530235
233541,Shenandoah University,540525605,540525605
480499,Shiloh University,205795380,205795380
148849,Shimer College,362167921,362167921
140988,Shorter University,580593431,580593431
448309,Shorter University-College of Adult & Professional Programs,580593431,580593431
195474,Siena College,141338498,141338498
172264,Siena Heights University,381366958,381366958
182458,Sierra Nevada College,880121831,880121831
239743,Silver Lake College of the Holy Family,390980974,390980974
167783,Simmons College,42103629,42103629
461759,Simmons College of Kentucky,205289168,205289168
154350,Simpson College,420680389,420680389
123457,Simpson University,941339635,941339635
219374,Sinte Gleska University,460312209,460312209
195526,Skidmore College,141338562,141338562
167835,Smith College,41843040,41843040
163921,Sojourner-Douglass College,920954654,920954654
399911,Soka University of America,953909672,953909672
123633,South Baylo University,953538772,953538772
366003,South Florida Bible College and Theological Seminary,592170711,592170711
176336,Southeastern Baptist College,640364542,640364542
199759,Southeastern Baptist Theological Seminary,560649251,560649251
102261,Southeastern Bible College,630338081,630338081
137564,Southeastern University,590722789,590722789
221661,Southern Adventist University,620536733,620536733
123952,Southern California Institute of Architecture,952789388,952789388
117575,Southern California Seminary,952111210,952111210
228246,Southern Methodist University,750800689,750800689
206862,Southern Nazarene University,730587210,730587210
183026,Southern New Hampshire University,20274509,20274509
231086,Southern Vermont College,30214106,30214106
233611,Southern Virginia University,540646523,540646523
217776,Southern Wesleyan University,570324936,570324936
179326,Southwest Baptist University,440567385,440567385
228468,Southwestern Adventist University,750891465,750891465
228325,Southwestern Assemblies of God University,750891463,750891463
228486,Southwestern Christian College,750891464,750891464
207856,Southwestern Christian University,730599209,730599209
155900,Southwestern College,480543715,480543715
228343,Southwestern University,741233796,741233796
157757,Spalding University,610444780,610444780
141060,Spelman College,580566243,580566243
172334,Spring Arbor University,381359569,381359569
102234,Spring Hill College,630302179,630302179
167899,Springfield College,42104329,42104329
475273,Springfield College-School of Professional and Continuing Studies,42104329,42104329
199698,St Andrews University,560530240,560530240
195164,St Bonaventure University,160743150,160743150
175005,St Catherine University,410695509,410695509
195173,St Francis College,111635105,111635105
163976,St John's College,520591421,520591421
195809,St John's University-New York,111630830,111630830
195216,St Lawrence University,150532239,150532239
154262,St Luke's College,420925159,420925159
228149,St Mary's University,741143128,741143128
174844,St Olaf College,410693979,410693979
137476,St Thomas University,590949880,590949880
130448,St Vincent's College,61331677,61331677
207689,St. Gregory's University,731685198,731685198
245652,St. John's College,850162247,850162247
148593,St. John's College-Department of Nursing,370661238,370661238
195243,St. Thomas Aquinas College,132513162,132513162
243744,Stanford University,941156365,941156365
179548,Stephens College,430670936,430670936
231095,Sterling College,30197728,30197728
155937,Sterling College,480543728,480543728
137546,Stetson University,590624416,590624416
186867,Stevens Institute of Technology,22148735,22148735
474906,Stevens-Henager College,870500238,870500238
477950,Stevens-Henager College,870500238,870500238
438151,Stevens-Henager College,870500238,870500238
446677,Stevens-Henager College,870500238,870500238
230630,Stevens-Henager College,870500238,870500238
460899,Stevens-Henager College,870500238,870500238
230621,Stevens-Henager College,251482719,251482719
164173,Stevenson University,520705392,520705392
102270,Stillman College,630315935,630315935
167996,Stonehill College,43092393,43092393
168005,Suffolk University,42133255,42133255
447953,SUM Bible College and Theological Seminary,721226741,721226741
181543,Summit Christian College,476025325,476025325
211024,Summit University of Pennsylvania,150543962,150543962
216278,Susquehanna University,231353385,231353385
216287,Swarthmore College,231352683,231352683
233718,Sweet Briar College,541534105,541534105
196413,Syracuse University,150532081,150532081
155973,Tabor College,480556726,480556726
102298,Talladega College,630288870,630288870
137777,Talmudic College of Florida,591571122,591571122
186900,Talmudical Academy-New Jersey,237125575,237125575
196440,Talmudical Institute of Upstate New York,161032869,161032869
451404,Talmudical Seminary of Bobov,383726543,383726543
196431,Talmudical Seminary Oholei Torah,119829924,119829924
216311,Talmudical Yeshiva of Philadelphia,231476335,231476335
152530,Taylor University,350868181,350868181
149329,Telshe Yeshiva-Chicago,362464241,362464241
221856,Tennessee Temple University,620548919,620548919
221731,Tennessee Wesleyan College,620476661,620476661
228875,Texas Christian University,750827465,750827465
228884,Texas College,750917417,750917417
228981,Texas Lutheran University,741109748,741109748
229160,Texas Wesleyan University,750800691,750800691
132408,The Baptist College of Florida,590799893,590799893
164933,The Boston Conservatory,42126597,42126597
201821,The Christ College of Nursing and Health Sciences,203823825,203823825
142294,The College of Idaho,820200906,820200906
193645,The College of New Rochelle,131740447,131740447
195234,The College of Saint Rose,141338371,141338371
174899,The College of Saint Scholastica,410698301,410698301
206589,The College of Wooster,340714654,340714654
192110,The Juilliard School,131624067,131624067
439701,The King's University,954663290,954663290
454184,The King??s College,131810448,131810448
117751,The Master's College and Seminary,956001907,956001907
167057,The New England Conservatory of Music,237225104,237225104
193654,The New School,133297197,133297197
448804,The Robert B Miller College,383589120,383589120
195128,The Sage Colleges,141338488,141338488
157748,The Southern Baptist Theological Seminary,610500919,610500919
475237,The University of America,261928365,261928365
202763,The University of Findlay,344431169,344431169
137847,The University of Tampa,590624459,590624459
215105,The University of the Arts,231639911,231639911
216357,Thiel College,250965576,250965576
124292,Thomas Aquinas College,941698615,941698615
161563,Thomas College,10263385,10263385
216366,Thomas Jefferson University,231352651,231352651
157809,Thomas More College,610448560,610448560
183275,Thomas More College of Liberal Arts,20344073,20344073
141167,Thomas University,580644897,580644897
206048,Tiffin University,344427516,344427516
141185,Toccoa Falls College,580685908,580685908
196583,Torah Temimah Talmudical Seminary,112127174,112127174
176406,Tougaloo College,640303093,640303093
196592,Touro College,132676570,132676570
459824,Touro University Nevada,200363127,200363127
459727,Touro University Worldwide,133838740,133838740
157818,Transylvania University,610444825,610444825
221892,Trevecca Nazarene University,620497990,620497990
206154,Tri-State Bible College,310792741,310792741
152567,Trine University,350715530,350715530
414878,Trine University-Regional/Non-Traditional Campuses,350715530,350715530
137953,Trinity Baptist College,412270181,412270181
200484,Trinity Bible College,450306841,450306841
149505,Trinity Christian College,362387148,362387148
130590,Trinity College,60646927,60646927
137962,Trinity College of Florida,596155069,596155069
146755,Trinity College of Nursing & Health Sciences,362739299,362739299
135610,Trinity International University-Florida,362216176,362216176
149514,Trinity International University-Illinois,362216176,362216176
235769,Trinity Lutheran College,910654200,910654200
229267,Trinity University,741109633,741109633
131876,Trinity Washington University,530196640,530196640
196653,Trocaire College,160909446,160909446
141237,Truett-McConnell College,154900079,154900079
168148,Tufts University,42103634,42103634
160755,Tulane University of Louisiana,720423889,720423889
200527,Turtle Mountain Community College,450323401,450323401
221953,Tusculum College,620484185,620484185
102377,Tuskegee University,630288878,630288878
246789,Unification Theological Seminary,141569152,141569152
196866,Union College,141338580,141338580
181738,Union College,470405319,470405319
157863,Union College,610461768,610461768
206279,Union Institute & University,310747997,310747997
221971,Union University,620516509,620516509
102395,United States Sports Academy,630771624,630771624
197018,United Talmudical Seminary,113279978,113279978
200554,United Tribes Technical College,450314233,450314233
161572,Unity College,10275130,10275130
128744,University of Bridgeport,60646936,60646936
237312,University of Charleston,550357039,550357039
144050,University of Chicago,362177139,362177139
224323,University of Dallas,750926755,750926755
202480,University of Dayton,310536715,310536715
127060,University of Denver,840404231,840404231
169716,University of Detroit Mercy,381360586,381360586
153278,University of Dubuque,420680323,420680323
150534,University of Evansville,350868074,350868074
457402,University of Fort Lauderdale,650683159,650683159
180258,University of Great Falls,810231777,810231777
129525,University of Hartford,60731360,60731360
160065,University of Holy Cross,720642832,720642832
151263,University of Indianapolis,350868107,350868107
200156,University of Jamestown,450231180,450231180
117140,University of La Verne,951644026,951644026
200217,University of Mary,450273403,450273403
226471,University of Mary Hardin-Baylor,741191640,741191640
135726,University of Miami,590624458,590624458
101693,University of Mobile,630417508,630417508
199069,University of Mount Olive,560623936,560623936
204185,University of Mount Union,340714687,340714687
161457,University of New England,10211810,10211810
129941,University of New Haven,60761704,60761704
204486,University of Northwestern Ohio,341695897,341695897
174491,University of Northwestern-St Paul,410711610,410711610
152080,University of Notre Dame,350868188,350868188
215062,University of Pennsylvania,231352685,231352685
157535,University of Pikeville,610444788,610444788
209825,University of Portland,930401259,930401259
236328,University of Puget Sound,910564961,910564961
121691,University of Redlands,951643389,951643389
233374,University of Richmond,540505965,540505965
205203,University of Rio Grande,314379537,314379537
195030,University of Rochester,263800000,263800000
152336,University of Saint Francis-Fort Wayne,350886846,350886846
130314,University of Saint Joseph,60646829,60646829
155812,University of Saint Mary,480547846,480547846
122436,University of San Diego,952544535,952544535
122612,University of San Francisco,941156628,941156628
215929,University of Scranton,240795495,240795495
219383,University of Sioux Falls,460224600,460224600
123961,University of Southern California,951642394,951642394
148584,University of St Francis,362170999,362170999
227863,University of St Thomas,741277664,741277664
174914,University of St Thomas,410693970,410693970
156541,University of the Cumberlands,610470593,610470593
225627,University of the Incarnate Word,741109661,741109661
107558,University of the Ozarks,710236867,710236867
120883,University of the Pacific,941156266,941156266
215132,University of the Sciences,231352668,231352668
188182,University of the Southwest,850164940,850164940
449870,University of the West,931022351,931022351
207971,University of Tulsa,730579298,730579298
216542,University of Valley Forge,231382408,231382408
210438,University of Western States,930309970,930309970
154493,Upper Iowa University,420680372,420680372
206330,Urbana University,344427951,344427951
216524,Ursinus College,231177930,231177930
206349,Ursuline College,340714777,340714777
446604,Uta Mesivta of Kiryas Joel,61555313,61555313
197045,Utica College,161476258,161476258
152600,Valparaiso University,350868125,350868125
221999,Vanderbilt University,620476822,620476822
149639,VanderCook College of Music,362539399,362539399
123651,Vanguard University of Southern California,956002998,956002998
197133,Vassar College,141338587,141338587
188340,Vaughn College of Aeronautics and Technology,110461385,110461385
197142,Villa Maria College,160871487,160871487
216597,Villanova University,231352688,231352688
482228,Virginia Baptist College,272918042,272918042
234164,Virginia Union University,540524516,540524516
234137,Virginia University of Lynchburg,540714277,540714277
234173,Virginia Wesleyan College,546039600,546039600
449764,Visible Music College,621861520,621861520
240107,Viterbo University,390978445,390978445
218919,Voorhees College,570329786,570329786
446613,W L Bonner College,582356831,582356831
152673,Wabash College,350868202,350868202
197197,Wagner College,135604699,135604699
199847,Wake Forest University,560532138,560532138
236896,Walla Walla University,910617727,910617727
172608,Walsh College of Accountancy and Business Administration,381308480,381308480
206437,Walsh University,340868798,340868798
210304,Warner Pacific College,930386890,930386890
480198,Warner Pacific College Adult Degree Program,930386890,930386890
138275,Warner University,591275800,591275800
199865,Warren Wilson College,560767736,560767736
154527,Wartburg College,420680351,420680351
216667,Washington & Jefferson College,250965601,250965601
162210,Washington Adventist University,520643528,520643528
234207,Washington and Lee University,540505977,540505977
164216,Washington College,520591691,520591691
179867,Washington University in St Louis,430653611,430653611
392840,Watkins College of Art Design & Film,620475751,620475751
229780,Wayland Baptist University,750859668,750859668
216694,Waynesburg University,250965603,250965603
197221,Webb Institute,111630912,111630912
138293,Webber International University,592139553,592139553
179894,Webster University,430662529,430662529
220206,Welch College,620481463,620481463
168218,Wellesley College,42103637,42103637
197230,Wells College,150532276,150532276
168227,Wentworth Institute of Technology,41958460,41958460
131098,Wesley College,510064335,510064335
141325,Wesleyan College,580593438,580593438
130697,Wesleyan University,60646959,60646959
237969,West Virginia Wesleyan College,550357056,550357056
433387,Western Governors University,841383926,841383926
168254,Western New England University,42108376,42108376
216807,Westminster College,250981156,250981156
230807,Westminster College,870212470,870212470
179946,Westminster College,430652617,430652617
125727,Westmont College,951684793,951684793
168281,Wheaton College,42103638,42103638
149781,Wheaton College,362182171,362182171
238078,Wheeling Jesuit University,550394213,550394213
168290,Wheelock College,42103639,42103639
237057,Whitman College,910567740,910567740
125763,Whittier College,951644048,951644048
237066,Whitworth University,910473310,910473310
475200,Whitworth University-Adult Degree Programs,910473310,910473310
244190,Widener University-Delaware Law School,231386178,231386178
216852,Widener University-Main Campus,231386178,231386178
206491,Wilberforce University,310604719,310604719
229887,Wiley College,750818183,750818183
216931,Wilkes University,240795506,240795506
210401,Willamette University,930386972,930386972
176479,William Carey University,640329400,640329400
122728,William Jessup University,941279803,941279803
179955,William Jewell College,440545914,440545914
199272,William Peace University,560529988,560529988
154590,William Penn University,420707120,420707120
179964,William Woods University,430654876,430654876
107877,Williams Baptist College,710240677,710240677
168342,Williams College,42104847,42104847
443340,Williamson Christian College,621669683,621669683
206507,Wilmington College,310537514,310537514
131113,Wilmington University,510107088,510107088
217013,Wilson College,231352692,231352692
199962,Wingate University,566049935,566049935
240338,Wisconsin Lutheran College,237179639,237179639
206525,Wittenberg University,310537177,310537177
218973,Wofford College,570314422,570314422
125897,Woodbury University,952786163,952786163
168421,Worcester Polytechnic Institute,42121659,42121659
401223,World Mission University,954230730,954230730
406200,Wright Career College,481153519,481153519
206622,Xavier University,310537516,310537516
160904,Xavier University of Louisiana,720635884,720635884
130794,Yale University,60646973,60646973
245731,Yeshiva and Kollel Harbotzas Torah,112225179,112225179
434937,Yeshiva College of the Nations Capital,521106842,521106842
420325,Yeshiva D'monsey Rabbinical College,133235250,133235250
197647,Yeshiva Derech Chaim,112357063,112357063
375230,Yeshiva Gedolah Imrei Yosef D'spinka,112960037,112960037
247773,Yeshiva Gedolah of Greater Detroit,382569760,382569760
476692,Yeshiva Gedolah Zichron Leyma,111134499,111134499
197601,Yeshiva Karlin Stolin,111752027,111752027
455257,Yeshiva of Machzikai Hadas,202570942,202570942
197674,Yeshiva of Nitra Rabbinical College,111954560,111954560
431983,Yeshiva of the Telshe Alumni,222368223,222368223
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,951786684,951786684
197692,Yeshiva Shaar Hatorah,112449817,112449817
441609,Yeshiva Shaarei Torah of Rockland,132905207,132905207
451398,Yeshiva Toras Chaim,223514050,223514050
197708,Yeshiva University,131624225,131624225
363712,Yeshivah Gedolah Rabbinical College,650809933,650809933
451370,Yeshivas Be'er Yitzchok,200586967,200586967
405058,Yeshivas Novominsk,133071539,133071539
197610,Yeshivat Mikdash Melech,237343102,237343102
217040,Yeshivath Beth Moshe,236409333,236409333
197735,Yeshivath Viznitz,237379099,237379099
197744,Yeshivath Zichron Moshe,141509297,141509297
181853,York College,470418641,470418641
217059,York College Pennsylvania,231352698,231352698
141361,Young Harris College,580593414,580593414
