line1,line2,line3,key
(1) Shon Norris 1 . 00,Director X 0 . 0 . 0 .,(2) Pat Carver 1 . 00,shon
(2) Pat Carver 1 . 00,Director X 0 o 0 . 0 .,(3) Michael Greene 1 . 0 0,pat
(3) Michael Greene 1 . 0 0,Director X 0 . 0 - 0 .,(4) Mitchell Watson 1 o 00,michael
(4) Mitchell Watson 1 o 00,Director X 0 . 0 . 0 .,(5) Brad Blackburn 1 . 00,mitchell
(5) Brad Blackburn 1 . 00,Director X 0 . 0 o 0 .,(6) Derek Allen 1.00,brad
(6) Derek Allen 1.00,Director X 0 . 0 . 0 o,(7) Marilyn Foote—Hudson 1 . 00,derek
(7) Marilyn Foote—Hudson 1 . 00,Director X 0 o 0 . 0 .,(8) Kerry Friedman 1 . 00,marilyn
(8) Kerry Friedman 1 . 00,Director X 0 . 0 . 0 .,(9) Brian Gompers 1 n 00,kerry
(9) Brian Gompers 1 n 00,Director X 0 c 0 . 0 -,(10) Jacqueline D. Grant 1 c 00,brian
(10) Jacqueline D. Grant 1 c 00,Director X 0 o 0 . 0 -,(11) Oscar Wong 1 o 00,jacqueline
(11) Oscar Wong 1 o 00,Director X 0 . 0 . 0 o,(12) Ann Young 1.00,oscar
(12) Ann Young 1.00,Director X 0 . 0 . 0 .,(13) John Pierce 1.00,ann
(13) John Pierce 1.00,Treasurer X X 0 . 0 . 0 .,(14) Jennifer Rhodes Ward 1 . 00,john
(14) Jennifer Rhodes Ward 1 . 00,Ex—Officio X 0 . 0 . 0 .,(15) Rebecca Anderson 1 . 00,jennifer
(15) Rebecca Anderson 1 . 00,Director X 0 . 0 . 0 .,(16) Brion Bolton 1 . 00,rebecca
(16) Brion Bolton 1 . 00,Director X 0 . 0 o 0 .,(17) Leslie McCullough Casse 1 . 00,brion
(17) Leslie McCullough Casse 1 . 00,Vice Chair X X 0 . 0 o 0 I,432007 11.07.14 Form 990 (2014),leslie
