line1,line2,line3,key
(1) DEBORAH G HAYNES 1 00,X 0 0 0,DIRECTOR,deborah
(2) PAMELA AMMAR 1 00,X 0 0 0,DIRECTOR,pamela
(3) CRAIG W BARTON 1 00,X X 0 0 0,PAST BOARD CHAIR,craig
(4) M CLARK BASTIAN 1 00,X 0 0 0,DIRECTOR,clark
(5) WILLIAM B MOORE 1 00,X X 0 0 0,BOARD CHAIR,william
(6) JOHN R MORSE 1 00,X 0 0 0,DIRECTOR,john
(7) MARILYN B PAULY 1 00,X X 0 0 0,TREASURER,marilyn
(8) PAULS ALLEN 1 00,X 0 0 0,DIRECTOR,pauls
(9) TIMOTHY BUCKLEY 1 00,X 0 0 0,DIRECTOR,timothy
(10) KELLY CALLEN 1 00,X 0 0 0,DIRECTOR,kelly
(11) CURTIS GRIDLEY 1 00,X 0 0 0,DIRECTOR,curtis
(12) DALE MALTBIE 1 00,X X 0 0 0,SECRETARY,dale
(13) DAN PEARE 1 00,X 0 0 0,DIRECTOR,dan
(14) NANCY MARTIN 1 00,X 0 0 0,DIRECTOR,nancy
(15) KENTON T RICHARDS 1 00,X 0 0 0,DIRECTOR,kenton
(16) STEVE FEILMEIER 1 00,X 0 0 0,DIRECTOR,steve
(17) BARRY SCHWAN 1 00,X 0 0 0,DIRECTOR,barry
(18) ELIZABETH H KING 60 00,"x 224,894 61,708",PRESIDENT AND CEO,elizabeth
(19) TERRE JOHNSON 50 00,"x 103,448 21,628",VP OF DEVELOPMENT,terre
(20) MICHAEL LAMB 50 00,"x 120,080 30,622",VP FOR PLANNED GIVING,michael
(21) PATRICIA] SELBY 45 00,"x 125,385 31,608",ASST TREASURER,selby
